feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,delta_30s_0,delta_30s_1,delta_30s_2,delta_30s_3,delta_30s_4,delta_30s_5,delta_30s_6,delta_60s_0,delta_60s_1,delta_60s_2,delta_60s_3,delta_60s_4,delta_60s_5,delta_60s_6,downstream_affected,label
36.4805,50.8016,0.8912,1.1372,0.9823,2215.7645,3498.3228,-5.3071,-1.3257,-0.1335,0.3413,0.2588,526.4118,119.3963,15.766,-18.0746,-0.0036,-0.3206,-0.4239,949.4423,-787.8769,0,timing
15.7486,24.5625,0.0243,0.1064,0,4715.7369,4240.0396,0.0042,0.0267,-0.0096,-0.0141,0.0008,0.0306,0.0203,0.012,-0.0441,0.0122,-0.0354,0.0178,-0.0362,0.0242,0,normal
7.9151,25.0386,0.4083,3.9885,0,810.734,820.6433,1.6346,-3.2199,0.0068,-1.126,-0.0453,47.5764,23.289,-3.8567,5.0472,0.1504,-1.8325,0.035,317.8942,-78.841,0,network
21.1258,32.4755,0.4993,0.1076,1.7211,7078.9622,3348.6008,2.6074,-6.29,-0.1356,-0.0808,-0.4284,310.5876,41.2363,-2.9754,-15.1374,0.3153,-0.0051,-0.4676,-2499.5251,1438.0891,1,pod_crash
25.8264,41.6056,0.7999,0.498,1.0979,348.7257,5129.6031,-5.2227,-8.9561,0.0707,-0.0502,-0.223,40.7249,-885.1566,3.2822,-20.5917,0.4028,-0.3011,0.1008,-49.7832,-2230.7527,1,pod_crash
50.6263,55.9847,0.3179,2.6661,0.7621,5430.9053,5010.7358,6.0333,-1.0972,0.0805,-0.2732,0.1045,-229.3488,339.9475,-23.3072,7.2594,0.0078,-0.6523,-0.1466,-1283.83,1010.1997,0,timing
37.3819,22.5654,0.0808,0.1684,0.2441,4480.4548,1614.5458,6.8378,5.9079,-0.0035,-0.0777,-0.0204,-401.1142,-186.7735,15.1572,9.3071,0.038,-0.1458,-0.1681,-1130.0157,-762.2154,0,cost
10.66,38.6219,0.3738,4.3826,0.0486,457.484,914.5644,1.085,-5.0284,0.0892,0.1795,0.042,84.646,87.9834,-4.4722,-9.753,0.0196,-1.4823,-0.0215,-55.6978,-312.1891,1,network
17.0218,23.1448,0.6562,0.4079,0.5297,6112.1018,5747.1923,-3.5626,2.0077,0.0101,-0.0013,0.0094,160.4284,-639.0258,-1.6141,-4.4745,0.1284,-0.0336,-0.0691,-2671.9573,1801.9324,1,pod_crash
36.6154,43.7618,0.0354,0.4699,0.1581,4135.7636,3500.6569,6.464,-3.5594,-0.0112,-0.0894,-0.0104,-1052.91,-53.1445,13.7197,11.5596,-0.0442,-0.1801,0.0151,1615.837,-737.1994,0,cost
49.0063,21.575,0.6206,0.9156,0.4878,5688.0185,4051.9521,4.0553,-1.1543,0.0173,-0.2435,0.0781,-1685.38,733.9987,-13.3405,1.5585,0.3027,0.4605,0.3411,1205.989,-39.2883,1,pod_crash
87.9838,87.2523,0.1762,1.3494,0.7235,5453.1276,6247.7833,-5.5936,-8.0808,-0.0509,0.2508,-0.0549,-272.9921,1127.3217,-35.2417,35.9736,-0.0226,0.078,0.0977,1430.703,2075.2869,0,resource
36.2309,28.1268,0.3289,0.1592,1.9241,6966.4883,3132.5421,3.9486,-3.0891,0.0752,0.0168,-0.3529,207.4983,393.6935,13.5781,12.8775,0.0091,0.0754,0.9742,-2852.6696,-1233.1537,0,pod_crash
43.8337,29.5915,0.1779,2.0782,1.397,4478.0323,3709.5834,9.974,2.8973,-0.1152,0.4705,0.121,751.7204,-188.1155,21.6633,-0.977,-0.0868,-0.3898,0.0212,-2116.9053,-191.4218,0,timing
13.4612,18.1336,0.0222,0.114,0,4635.0928,2434.4163,0.0341,0.0152,-0.0295,0.0179,-0.0284,-0.0018,0.0168,-0.0363,-0.0032,-0.026,-0.0453,-0.0149,0.0257,-0.0351,0,normal
11.8954,22.8025,0.0326,0.0686,0,4692.5734,4328.3443,-0.022,0.0369,-0.0022,-0.0186,-0.0302,-0.0065,-0.0107,-0.0193,-0.0323,0.0142,0.013,0.0405,0.0366,-0.0112,0,normal
9.4559,21.7283,0.0158,0.0747,0,4235.8142,4556.5701,0.0023,-0.0305,-0.0131,-0.0041,0.0057,-0.0099,-0.0042,-0.0214,-0.0791,-0.0412,0.0017,-0.0305,-0.0203,0.0097,0,normal
47.0511,58.5535,0.1691,1.1604,2.4475,3122.2455,4539.5814,-0.9339,2.4429,-0.0503,0.0345,-0.498,608.4705,599.4346,3.5149,-0.603,-0.003,0.3994,0.3251,117.4396,1223.1106,0,timing
31.9683,12.2637,0.2425,0.4705,0.2456,3681.9065,5922.4002,1.6276,3.0303,-0.0534,-0.1844,-0.0438,-493.1108,-829.1625,10.2076,-1.4135,-0.0588,0.2008,-0.099,-1478.231,-1425.7384,1,pod_crash
8.2596,14.6362,0.0111,0.077,0,3254.9105,3923.4123,0.0214,-0.0182,0.0161,0.0007,0.0137,-0.0226,-0.008,-0.0016,-0.0077,0.019,0.0348,-0.0217,-0.0083,0.0048,0,normal
9.3578,39.0137,0.2479,4.3375,0.139,450.2635,827.5293,-2.0319,11.4332,-0.0409,0.5224,0.0521,30.2226,221.3456,0.2368,-10.2986,0.0212,-0.3979,-0.087,-142.2481,-159.485,1,network
32.0358,33.1595,0.4218,0.4805,0.5045,8978.5136,5080.5472,-9.382,-8.6177,0.14,0.0123,-0.0883,-879.1208,1194.9312,12.4237,8.6808,0.0722,-0.1282,-0.1608,684.1495,-1909.0957,1,pod_crash
19.1237,14.3856,0.3252,2.9389,0.6908,651.7757,591.8839,1.783,2.1249,-0.1269,0.2567,0.0378,125.6809,-90.6453,-2.2265,6.9755,0.2612,1.2109,-0.4216,217.8882,69.7901,1,network
3.6804,12.8763,0.3615,4.3031,0,72.599,963.4496,0.1154,2.8817,0.0469,-0.8545,0.0121,4.02,27.0694,-0.9206,-6.4027,0.0481,0.6616,0.0925,-35.1239,-322.7087,1,network
37.3544,40.3651,0.3895,1.5045,0.2762,4212.6335,4278.1738,0.726,-2.4494,0.0295,0.3364,-0.0735,445.0844,-209.7133,15.6176,-6.0932,-0.1555,0.2757,-0.0389,1821.5375,-2124.5066,0,timing
33.8492,39.7476,0.1429,0.1659,0.1303,3138.6826,3726.0678,8.1742,2.5172,-0.1173,-0.0259,-0.0442,-695.3631,498.3855,9.9639,13.4633,-0.0091,0.0786,0.0302,-1475.5664,1308.5988,0,cost
99.9771,81.1358,0.076,0.922,0.2381,3344.986,0,18.7257,-21.6457,-0.0296,0.0793,-0.0158,47.3453,0.0745,5.4532,20.9425,-0.0403,0.0733,-0.2609,-652.8048,0.0927,0,resource
92.9726,64.6528,0.1363,1.2615,0.6447,6447.3924,5130.6722,-4.4631,2.4059,0.0092,-0.2507,-0.1938,1154.7895,1057.246,42.379,29.7696,-0.0709,0.2487,0.2872,-1793.9948,-33.8081,0,resource
76.0759,77.3073,0.323,1.8295,0.0648,2230.6156,5450.3817,10.301,9.9662,-0.0425,0.4385,0.0385,489.5112,561.7221,-24.6466,17.1332,-0.0104,-0.9121,0.0706,-291.7782,180.0061,0,resource
15.0497,16.8012,0,0.0808,0,4038.2855,3550.9725,0.0036,-0.022,-0.0297,-0.0076,0.0111,-0.0013,-0.0063,-0.0125,0.0131,0.0161,-0.0132,0.0087,0.0054,-0.0152,0,normal
71.399,51.6918,0.0489,0.554,0.0239,4145.0158,2812.6694,-14.5204,8.395,-0.0563,0.143,0.0483,-431.4188,613.9501,-0.5261,25.734,0.0006,0.0964,0.0796,353.2115,-866.8932,0,cost
40.6096,40.9243,0.592,1.9222,1.2414,6214.237,4827.7661,4.9591,-6.5779,-0.0812,0.3371,0.0396,1441.0088,-176.5235,-0.2443,-3.8841,0.1122,-0.6006,0.3725,-1843.4159,1738.7899,0,timing
91.1758,89.6966,0.4071,1.1994,0,3148.5385,5791.505,-22.5626,2.9864,-0.1471,0.1842,0.0038,-126.9151,85.1241,34.4283,-10.1782,-0.1548,-0.81,-0.122,1092.4041,-1764.3372,0,resource
82.2652,87.8305,0.2054,1.1188,0.6997,5448.9629,7842.0444,-3.6486,-12.5378,-0.0868,0.2686,-0.1515,-206.2607,-977.2046,-5.4047,14.889,-0.0369,-0.1983,-0.2942,307.4329,-3732.1561,0,resource
2.2066,20.1325,0.6996,0.4773,2.5982,2960.6664,6650.8132,-0.3925,1.7616,0.2216,-0.0705,-0.038,502.706,1456.3632,-0.9984,-9.0074,0.2046,0.2595,-1.0773,-658.2136,-1867.7754,1,pod_crash
40.145,65.487,0.5222,1.7647,1.5715,2863.2586,4146.8234,3.7934,-17.0073,0.1351,0.2191,0.15,-719.7755,941.865,6.4993,4.2477,-0.0101,0.4053,-0.0649,858.2278,-50.7371,0,timing
26.8827,12.2507,0.5982,0,1.044,6376.1974,5880.0292,4.0687,-0.9932,-0.0517,-0.0467,0.2449,1003.3095,-1380.5501,-5.4759,-1.6077,0.3681,-0.0155,-0.5282,3186.9329,-787.3977,0,pod_crash
66.706,39.2823,0.0875,0.0133,0,4745.1439,1764.9679,7.1371,7.9008,-0.0586,-0.0013,-0.0026,-475.4057,528.5299,-28.6783,0.132,0.0253,0.0281,0.0756,1189.119,-438.6537,0,cost
33.3866,12.1603,0.2584,0.4972,3.7176,2502.3763,4746.4401,9.9565,2.8534,0.1136,-0.0052,-0.0842,210.6343,771.9889,-5.2191,1.4952,-0.0568,0.1211,-1.526,-440.0347,1701.2277,1,pod_crash
32.8695,34.1807,0.0654,0.3942,0.0946,4390.1908,1693.86,3.8911,4.271,-0.0448,-0.0491,-0.0065,-42.8838,5.2934,16.1536,4.7972,0.0544,0.0923,0.1037,-1444.641,-813.3391,0,cost
10.4477,15.5498,0.0178,0.0759,0,2704.3961,5070.4571,-0.0189,-0.0018,-0.0055,-0.0263,-0.0137,0.0063,-0.0018,0.0517,-0.0333,-0.0434,0.0249,-0.002,-0.0062,0.0061,0,normal
103.0607,77.4109,0.2712,0.3834,0.0294,4453.2676,4693.988,30.4085,-16.3343,-0.0531,0.0308,-0.0021,-840.487,-474.1785,-46.1633,-2.7492,0.0869,0.2376,-0.1261,1139.857,-1327.3124,0,resource
18.9739,23.8523,0.3849,3.2021,0.0632,576.6736,620.6536,-2.7724,5.8285,-0.0873,0.0304,-0.0303,-53.2471,-147.0805,-5.7695,-0.8101,0.08,1.0756,-0.036,97.2906,-93.5921,0,network
12.0823,20.5958,0.0076,0.0476,0,3208.1664,3558.5807,0.0111,0.0234,0.0354,0.0111,-0.011,0.0046,-0.0064,0.0137,-0.0621,-0.0367,-0.0091,0.0598,0.0794,-0.0384,0,normal
13.3842,28.9338,0.2012,0.6653,2.6901,3240.6248,5844.8935,-2.0486,8.4822,0.0244,-0.2872,0.9085,-408.6756,-907.2124,0.3123,10.6442,0.0507,0.07,-0.7887,988.9313,107.2065,1,pod_crash
11.941,25.0045,0.5762,1.9027,2.7336,4566.4892,2853.0215,-1.3511,7.2344,0.12,0.2329,0.177,-354.6333,-712.9363,4.4932,-1.9561,-0.2794,-0.2996,-0.8666,-70.5716,580.8168,0,timing
107.2797,55.4392,0.0631,0.7753,0.6388,3644.2008,5903.6558,-1.8393,-14.4893,-0.1051,-0.1345,-0.14,-126.1346,-1198.5027,39.9839,10.6073,0.0546,0.2472,0.0929,1509.6726,165.2087,0,resource
28.6461,23.6853,0.498,0.6893,0.5642,6756.5397,5373.4622,5.5188,-2.7832,-0.0707,-0.178,-0.1831,1767.3044,486.0423,-4.8788,7.6759,-0.1121,-0.2028,0.1052,599.2673,-0.3556,0,pod_crash
18.071,28.3257,0.5703,0.3808,3.2426,10001.9257,1617.7359,0.882,-6.1394,0.0198,-0.0367,-0.8776,-2358.8523,250.7138,3.2273,-3.2552,0.2603,0.2055,-1.1614,-4428.2086,133.5205,0,pod_crash
31.5016,26.6795,0.3362,2.958,0.1406,0,780.7706,8.7953,-2.5328,-0.0549,0.8133,-0.0343,-0.0049,228.7068,4.5318,-0.9365,-0.1138,0.4715,0.1107,-0.0275,-205.8865,1,network
28.2413,17.3684,0.3961,2.1176,0,740.8352,0,1.8753,3.853,0.0733,0.4093,0.0628,-101.9419,-0.0597,7.5305,2.8355,0.0089,0.6296,-0.0682,224.6643,0.097,1,network
19.1676,18.7558,0.4318,4.3153,0.1404,348.5585,878.9317,0.598,2.1966,0.0562,0.4631,-0.0013,33.5429,-143.5582,-2.3431,-7.2875,-0.0731,-2.0345,-0.0946,59.3688,-108.9911,0,network
26.7568,24.2342,0.2072,0.4669,1.6214,6290.1256,2141.5177,-0.8105,-1.3643,0.0009,0.0989,0.4026,-1322.9032,-240.2991,11.649,0.1959,0.0383,-0.1588,-0.6251,1189.5626,467.4776,0,pod_crash
14.8501,22.9762,0.5442,0,2.3663,3185.4846,6519.675,2.3267,1.6078,0.0645,-0.0813,0.2108,-804.78,-1795.8735,5.5073,-11.5176,0.3018,0.0601,-1.1532,1183.1471,2227.3125,1,pod_crash
74.9714,85.558,0.3315,1.7611,0.6533,6656.0674,7684.6388,10.4102,-18.6071,0.0629,-0.387,0.1064,1740.0554,1046.3917,8.39,6.9995,0.0825,-0.777,0.091,-1220.4329,623.4443,0,resource
39.6316,24.1355,0.0195,0.5138,0.0413,1327.6501,3665.5423,-2.9492,-6.6245,-0.1424,0.0289,0.0704,155.3362,-583.9439,-8.9709,-1.4372,0.081,-0.1247,-0.0017,-572.1618,1139.1114,0,cost
30.8683,24.2481,0.4397,5.7946,0.0325,400.5191,211.0386,5.6811,3.3606,0.0193,1.4573,0.0537,7.8818,37.1895,-15.3956,8.8806,0.1219,-1.5564,0.0676,45.6548,-79.6804,0,network
61.4212,31.3684,0.1514,0.4524,0,2541.4021,1790.608,-14.2557,6.6445,-0.0743,-0.0656,0.0194,-67.8693,-158.58,1.8672,11.984,0.009,0.1744,-0.0569,-836.044,-782.8115,0,cost
69.9486,41.2812,0.2112,1.476,1.5835,687.8353,1901.5587,-8.4426,-10.527,0.0729,0.3172,-0.0866,9.9826,-247.6329,6.5211,-13.3648,-0.1057,-0.1188,0.2282,-332.7159,-723.0912,0,timing
41.9062,48.2095,0.1095,0.64,0.2588,2469.6257,1670.8789,-4.9957,2.0109,-0.0278,-0.2664,0.0373,-83.4395,-102.6672,-15.6018,2.3873,-0.042,-0.3495,-0.0034,432.8571,-727.0753,0,cost
28.0538,29.5773,0.4723,2.443,1.6512,5099.816,2606.9378,6.291,5.4235,0.1193,-0.5734,-0.2953,898.1399,-475.1746,9.8178,-7.5892,0.032,0.9129,-0.7991,-1671.7204,-789.1195,0,timing
54.6922,29.7613,0.5568,1.7934,2.7523,4150.8341,2802.2468,-4.5077,-0.8384,-0.1247,0.099,-0.447,-792.8801,787.8468,-12.7547,7.3499,0.0379,-0.0795,0.3373,2058.7704,1310.348,0,timing
80.2568,77.5117,0.2802,1.6117,0,6699.1171,5536.5401,-11.4462,-1.1033,0.0387,-0.0782,-0.0322,1495.2983,-1635.9568,15.1883,11.9172,0.1011,-0.5815,-0.0302,-2297.6991,-2612.2618,0,resource
49.0334,38.31,0.7057,1.1373,1.3131,3439.0811,3608.1353,-9.3892,-5.9826,-0.1422,-0.1435,-0.2165,-49.5658,-970.4149,22.1487,13.6508,0.1916,-0.4946,-0.4548,-1081.1567,1269.9487,0,timing
18.1854,21.7127,0.022,0.0822,0,3863.7102,4697.8465,0.0008,0.0014,-0.0051,-0.0099,0.0187,-0.0071,0.0083,-0.0071,0.005,-0.0014,0.0084,-0.0311,-0.0061,0.0451,0,normal
67.6855,84.4691,0.6203,1.4904,2.1471,4844.6619,4286.7122,-19.1554,14.3383,0.1436,-0.2843,-0.3445,-285.5716,1283.3884,-10.8131,-7.2609,0.1429,0.6464,0.5,340.3049,1335.5623,0,timing
45.7638,44.5375,0.5812,1.2253,2.088,2585.3889,4407.8949,4.1224,9.9479,-0.0858,0.0424,-0.2587,66.0276,1141.2335,16.5435,15.8785,-0.3575,0.5065,-0.1186,-908.1804,1581.8344,0,timing
25.8893,18.4142,0.252,2.278,0.8305,287.3333,417.8165,0.7536,-3.9215,0.0336,-0.4466,-0.0988,64.7739,119.8903,-2.3173,2.7642,0.0477,0.5079,0.0577,112.1847,-159.3495,0,network
31.7875,67.0538,0.4089,1.5634,1.4063,4549.5738,3276.2753,-8.1293,3.2565,0.1154,-0.3219,-0.4567,-199.554,850.3556,14.091,26.6981,0.068,0.6104,-0.506,1832.185,-1107.7556,0,timing
22.6448,20.3889,0.3587,1.7236,0.3088,553.9717,1157.6172,0.9859,-4.7639,-0.0281,-0.2722,0.0342,96.1153,87.6977,-1.9434,8.9233,0.1641,0.7864,0.0152,-188.2237,310.6304,0,network
17.5556,28.576,0.3089,3.1579,0,756.5315,487.4564,2.0346,-5.1269,-0.0805,-0.1723,-0.0286,92.1148,40.3898,3.7627,-9.3648,-0.0025,-1.2802,0.0045,-253.7596,215.5091,0,network
22.9972,73.8049,0.5967,3.2955,0.9708,5890.4794,1913.9884,3.5071,-8.58,0.1193,-0.3685,-0.0861,1617.9102,473.994,3.8047,-25.3822,0.2675,1.3413,-0.0449,-1209.9821,-197.3335,0,timing
30.5417,37.5222,0.4572,1.6121,2.2005,3570.9342,5403.9031,-1.5812,0.0796,0.1375,0.2102,0.0354,-211.1947,482.9974,10.7248,-2.7539,0.1882,-0.2751,0.2057,-870.2732,-282.5359,0,timing
59.9759,47.2301,0.1718,0.3614,0,2523.7936,4125.7698,9.1394,-1.5656,-0.0842,0.0863,0.0582,-75.8282,29.2713,-3.4424,-6.4966,-0.169,0.088,0.091,-348.7003,779.3528,0,cost
63.0296,13.2901,0.115,0.5956,0.1569,2202.45,1695.937,12.6406,0.5176,-0.0629,-0.0752,0.0479,-517.4165,395.0664,14.1818,5.8953,0.0201,0.0925,-0.1287,-1092.3338,384.8887,0,cost
73.7148,72.4839,0.0817,1.2441,0.5351,8531.5018,7664.9993,7.9542,2.9001,0.0432,0.3596,0.0001,2336.0113,746.2087,-19.6833,-12.1425,0.0803,-0.3743,-0.2515,1888.5889,-2991.7,0,resource
70.4363,25.3162,0.0621,0.6305,0.0952,1801.4076,3300.7177,-7.0564,2.2294,0.0492,0.051,0.0253,311.7967,-91.0296,-31.1759,3.0491,-0.0295,0.1145,0.0066,503.869,-1640.3137,0,cost
25.2325,16.8913,0.0072,0.0876,0,4116.3797,3065.0848,0.0073,0.0158,-0.0271,0.0012,-0.0329,0.0101,-0.0146,-0.0526,0.0453,0.0061,0.0059,-0.0411,0.0417,0.0288,0,normal
10.3371,16.3779,0.0131,0.1031,0,4442.7753,5963.7514,-0.0135,-0.0151,0.0035,-0.0069,0.0157,0.0346,-0.0135,-0.0247,-0.004,-0.0116,-0.0204,-0.0319,0.0142,0.0257,0,normal
13.3129,63.8023,0.5031,1.5694,0.3034,3223.1919,568.6424,3.0467,-1.9672,-0.0454,-0.2518,0.1562,-704.8544,77.8019,-1.8423,2.2888,0.0666,0.0024,-0.057,-1231.0364,162.1188,0,timing
92.2109,83.7902,0.1602,0.6931,1.0856,4031.8899,8275.6289,0.9149,5.813,0.0059,-0.1407,0.261,-1134.5527,-713.4308,-20.8829,-23.1918,-0.0488,-0.2429,0.1544,1816.0077,2310.1165,0,resource
15.3391,18.7576,0.0078,0.073,0,5345.4928,6373.4536,0.003,-0.0027,0.0103,-0.0112,-0.0086,0.001,-0.0077,-0.0524,-0.0164,-0.0092,-0.0488,-0.0219,0.0051,0.0516,0,normal
60.2797,66.2252,0.2313,1.8814,0.2987,8089.1344,5417.8674,13.2999,-5.294,-0.0961,-0.3082,-0.0577,-1317.0269,155.6421,25.1066,23.2792,-0.1734,-0.3238,0.0345,-3040.567,-1027.4762,0,resource
31.567,32.114,0.8372,0.3177,3.5696,7913.3982,5255.1738,8.2678,-3.7009,0.1734,0.115,0.3142,848.7201,-65.6365,14.924,-13.4246,0.2554,0.0035,0.3567,1538.3132,-1697.1002,0,pod_crash
42.0592,32.741,0.3422,0.4773,2.2493,4952.571,6746.1037,-3.1697,0.0729,-0.1058,0.1038,-0.3339,-14.5513,1685.4106,11.9787,7.0264,0.0187,0.1792,-0.6235,-649.4623,-2490.0953,1,pod_crash
35.6051,15.1294,0.365,0.332,0.9967,2866.0928,4125.0378,-4.6566,-0.9738,0.0173,0.0521,-0.0199,-747.2873,-326.727,-3.463,1.5006,-0.0287,0.0581,0.077,-550.3008,656.0939,0,pod_crash
60.6311,23.503,0.0257,0.2372,0.2494,3652.3849,4919.2208,-4.218,-0.6121,0.0444,0.0685,0.0685,381.5287,186.1298,-6.152,4.8289,0.0313,-0.0762,0.0272,774.245,-2290.1556,0,cost
21.4044,29.8394,0.0272,0.0755,0,4185.6959,2447.3056,0.0063,0.0128,0.0117,0.0217,-0.0032,-0.0246,0.0133,0.0299,-0.0724,0.0303,-0.0153,-0.053,-0.0262,0.0611,0,normal
16.0206,28.8106,0.3755,3.1257,0,1034.8395,979.7192,4.3529,-3.4694,0.015,-0.904,-0.0489,225.971,-287.3675,-1.4758,1.6648,-0.0661,0.857,-0.1146,282.5915,37.2156,0,network
16.4259,23.0842,0.4896,3.0238,0,274.3056,431.6612,3.2586,6.655,-0.0333,0.1334,-0.0636,-43.1044,58.3786,-6.2742,4.4227,-0.1265,1.2577,0.0511,103.7166,-100.4615,1,network
87.6485,66.7285,0.1687,0.9994,0.6255,10397.0014,6816.7818,22.4003,18.8653,-0.0531,-0.3019,0.1055,-957.484,-69.1067,29.4858,-30.1349,0.0588,-0.2347,0.0552,4851.7289,469.7597,0,resource
41.1123,34.3745,0.6629,0.7648,0.8458,6391.1148,5473.9948,-7.5466,7.9408,-0.0777,0.04,0.0076,-1656.5768,-1496.9398,8.9427,9.9861,-0.089,0.1667,0.2978,1228.9749,2254.5329,0,pod_crash
6.9796,16.2959,0.4809,0.1904,2.445,4083.103,6919.5815,1.1726,4.2521,-0.0883,-0.0154,0.6143,-397.1903,-751.1411,1.2362,-7.2429,0.0277,0.0549,-0.8073,505.6447,1859.7709,0,pod_crash
94.6525,68.5872,0.0982,1.4754,0.2357,6781.0563,6904.5704,-25.3111,5.7252,0.0459,-0.0656,-0.0501,-1241.5246,1022.8576,-38.9902,-25.1587,-0.0934,0.3492,-0.0146,-103.7098,-2131.8423,0,resource
9.8166,15.5629,0.0113,0.1161,0,3348.4068,4223.8149,-0.0232,0.0184,0.036,0.0094,-0.0142,0.0162,-0.007,0.0359,-0.0122,0.0137,0.0005,-0.024,0.0113,0.0105,0,normal
48.4458,47.0663,0.0525,0.6694,0.2562,3906.5133,4858.0925,-13.6976,-5.22,0.0303,0.1341,-0.0283,-421.2585,380.1847,-16.5443,22.8721,0.0883,-0.3181,0.1598,-1118.8835,-1360.894,0,cost
22.7546,22.5244,0.3051,5.2883,0.1699,551.6021,259.606,-0.7135,-1.6762,0.1191,0.9324,0.0111,12.8097,75.8266,4.6985,5.8802,-0.1268,0.3979,-0.0781,-137.4785,83.7798,0,network
65.3948,24.1331,0.1326,0.3018,0.2939,2279.1547,2829.0978,17.7085,0.1778,-0.1065,0.0474,0.0331,562.6239,-21.3925,-0.6006,-4.6246,0.1815,0.097,0.0132,297.8078,-582.1323,0,cost
38.9701,40.0176,0.1406,0.5623,0.1299,4043.1306,1882.5932,10.5887,3.1252,-0.0376,-0.1158,-0.0689,-70.7528,189.1542,-0.9452,-13.5114,-0.1037,0.2242,-0.068,-1957.0871,474.4881,0,cost
78.3352,68.1221,0.1815,0.9021,0.9325,7116.3436,10802.6186,-20.2571,2.9475,-0.0645,0.064,-0.2327,-1514.531,-2921.3194,-14.1847,28.5402,-0.0885,0.4794,0.2847,1193.0517,3719.5117,0,resource
13.6597,13.2536,0.0201,0.0902,0,2807.803,5693.9379,-0.0015,0.0205,-0.0089,0.0198,0.0057,0.0222,-0.0044,0.017,0.0177,0.0166,-0.0027,0.0042,-0.0084,-0.0007,0,normal
10.9908,23.4407,0.0158,0.0719,0,2810.2068,3121.2744,-0.0328,0.003,0.0114,-0.0209,-0.0302,-0.0196,-0.0117,-0.0632,-0.0504,-0.0081,-0.021,-0.0395,-0.0157,-0.0058,0,normal
24.0691,44.3559,0.5185,0.6082,1.1202,9950.4476,6664.9603,-6.5158,-7.98,0.035,-0.0153,0.2031,-873.9492,1494.2924,9.5152,10.4887,0.1654,0.1902,-0.413,-2892.3459,-412.8523,1,pod_crash
13.0033,10.3,0.0218,0.0586,0,3446.9335,4406.1447,0.0061,0.0127,0.0039,0.0359,-0.0042,-0.0331,-0.0056,-0.026,0.0287,-0.0566,-0.0496,-0.0047,-0.0345,0.0017,0,normal
28.1515,18.1515,0.284,1.403,1.4682,2093.8143,2145.7102,6.6009,5.2665,0.006,-0.0069,0.2011,-534.2714,141.4847,-7.9235,7.1784,-0.2107,-0.5192,0.5317,-799.8328,160.4723,0,timing
87.975,77.3315,0.1877,1.8616,0.4303,4646.934,5477.4448,22.9127,16.4953,0.0878,-0.008,-0.0517,-47.719,128.4222,-14.6501,-37.7203,-0.0611,-0.0591,0.118,-1829.0112,-1372.7724,0,resource
82.726,63.5431,0.104,2.0643,0.3963,9651.2866,9800.4922,18.3422,8.1709,0.0622,0.0148,0.0031,-1040.4586,-358.8574,6.8383,12.3338,-0.0748,-0.6529,-0.0298,1532.6583,-3141.441,0,resource
